Dataset                        ;Catch22Classifier  ;FreshPRINCEClassifier ;TSFreshClassifier  ;Model_Dicionário;Model_Amazonico;model_padrao
ECGFiveDays                    ;0.7723577235772358 ;   1.0                ;0.4970963995354239 ;1.0;0.9408888888888889;0.9872241579558653
EOGHorizontalSignal            ;0.5524861878453039 ;   0.5911602209944752 ;0.5662983425414365 ;0.5165745856353591;0.9790940766550522;0.4723756906077348
EOGVerticalSignal              ;0.505524861878453  ;   0.4779005524861878 ;0.4917127071823204 ;0.48066298342541436;0.7344053948904163;0.425414364640884
Earthquakes                    ;0.7410071942446043 ;   0.7697841726618705 ;0.7553956834532374 ;0.7482014388489209;0.5303867403314917;0.7482014388489209
ElectricDevices                ;0.7274024121385034 ;   0.7691609389184282 ;0.7663078718713526 ;0.6717676047205291;0.5138121546961326;0.6717676047205291
EthanolLevel                   ;0.35               ;   0.41               ;0.382              ;0.492;0.478;0.51
FaceAll                        ;0.763905325443787  ;   0.7816568047337278 ;0.878698224852071  ;0.7940828402366864;0.7988165680473372;0.8810650887573964
FaceFour                       ;0.6363636363636364 ;   0.9659090909090908 ;0.5795454545454546 ;0.8295454545454546;0.9772727272727273;0.9204545454545454
FacesUCR                       ;0.7073170731707317 ;   0.8975609756097561 ;0.871219512195122  ;0.8551219512195122;0.895609756097561;0.8136585365853658
FiftyWords                     ;0.5956043956043956 ;   0.7384615384615385 ;0.6857142857142857 ;0.7406593406593407;0.756043956043956;0.7164835164835165
Fish                           ;0.7942857142857143 ;   0.9142857142857144 ;0.92               ;0.8685714285714285;0.8628571428571429;0.7885714285714286
FordA                          ;0.9159090909090908 ;   1.0                ;1.0                ;0.90454545454545;0.9416666666666667;0.8878787878787879
FordB                          ;0.7333333333333333 ;   0.7950617283950617 ;0.8308641975308642 ;0.7814814814814814;0.7876543209876543;0.7209876543209877
FreezerRegularTrain            ;0.99859649122807   ;   0.9894736842105264 ;0.983157894736842  ;0.9540350877192982;0.9898245614035087;0.9452631578947368
FreezerSmallTrain              ;0.9585964912280702 ;   0.983859649122807  ;0.923157894736842  ;0.8014035087719298;0.864561403508772;0.7378947368421053
GunPoint                       ;0.9666666666666668 ;   0.94               ;0.9533333333333334 ;0.9466666666666667;0.96;0.9733333333333334
